Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,AGCP Regional Status,Distribution Zone,Attracts,Tolerates,Soil Description,Condition Comments,Maintenance,Native Habitats,Culture,Uses,UseXYZ,WFMaintenance,Problems,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com
"Grasses, Sedges, and Rushes",SN3,Sorghastrum nutans,INDIANGRASS,3 - 5,1 - 2,Yellow,"Aug, Sep, Oct",Full Sun,"dry, medium",FACU,USDA Hardiness Zone 4 to 9,Birds,"Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution","Moist, rich soils. Calcareous, Sandy Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based",,Medium,"Prairies; open woods; fields; dry slopes. Frequent in north central Texas, Edwards Plateau, and Plains Country. Sand, loam, clay, limestone; seasonal poor drainage okay.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g780,https://www.wildflower.org/plants/result.php?id_plant=sonu2,https://www.pleasantrunnursery.com/plant-name/Sorghastrum-nutans,https://newmoonnursery.com/nursery-plants/sorghastrum-nutans-indian-steel/,https://www.pinelandsnursery.com/sorghastrum-nutans-indiangrass-seed
"Grasses, Sedges, and Rushes",SH,Sporobolus heterolepis,PRAIRIE DROPSEED,2 - 3,2 - 3,"Pink, Purple","Apr, May, Jun, Jul, Aug, Sep",Full Sun,"dry, medium",,USDA Hardiness Zone 3 to 9,Birds,"Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution","Well-drained, sandy or richer soils.",,Low,"Well-drained limestone, sand, clay, loam. Rocky, open woods; thickets; prairies.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f680,https://www.wildflower.org/plants/result.php?id_plant=ecpu,https://www.pleasantrunnursery.com/plant-name/Sporobolus-heterolepis,https://newmoonnursery.com/nursery-plants/sporobolus-heterolepis-tara/,https://www.pinelandsnursery.com/sporobolus-heterolepis-1-pot
Shrubs,AP,Andromeda polifolia,BOG ROSEMARY,,,"White, Pink","Jun, Jul",,,,USDA Hardiness Zone 2 to 6,Pollinators,Drought Tolerant,"Organic peats, sands and mucks.",,Low,Acid bogs,,,,,,https://plants.ces.ncsu.edu/plants/andromeda-polifolia/,https://www.wildflower.org/plants/result.php?id_plant=anpo,https://www.pleasantrunnursery.com/plant-name/Pieris-japonica-Cavatine,,https://www.pinelandsnursery.com/search?query=Andromeda+polifolia
Shrubs,AA,Aronia arbutifolia,RED CHOKEBERRY,6 - 10,3 - 6,White,May,"Full Sun, Part Shade",medium,FACW,USDA Hardiness Zone 4 to 9,Food Source for Wildlife,"Clay Soil, Wet Soil, Black Walnut Tolerant, Erosion, Salt Tolerant, Wet Site Tolerant","Moist, rich soils.",,Low,Pine bottomlands; swamps; open bogs,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286551,https://www.wildflower.org/plants/result.php?id_plant=ARAR7,https://www.pleasantrunnursery.com/plant-name/Aronia-arbutifolia-Brilliantissima,,https://www.pinelandsnursery.com/photinia-pyrifolia-red-chokeberry-1-pot
Shrubs,AM,Aronia melanocarpa,BLACK CHOKEBERRY,4 - 6,6 - 8,White,May,"Full Sun, Part Shade",medium,,USDA Hardiness Zone 3 to 8,Birds,Erosion,"Moist, acid soils.",,Low,Lowlands; bogs; dunes; bluffs,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241869,https://www.wildflower.org/plants/result.php?id_plant=ARME6,https://www.pleasantrunnursery.com/plant-name/Aronia-melanocarpa-Ground-Hug,,https://www.pinelandsnursery.com/photinia-melanocarpa-black-chokeberry-1-pot
Shrubs,CO,Cephalanthus occidentalis,BUTTONBUSH,5 - 12,4 - 8,"White, Pink","Jun, Jul, Aug, Sep","Full Sun, Part Shade","medium, wet",OBL,USDA Hardiness Zone 5 to 9,"Hummingbirds, Butterflies","Wet Soil, Erosion","Limestone-based, Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay",,Low,"In swamps, around ponds and margins of streams throughout the state. Sand, loam, clay, limestone; moist, poor drainage or standing water okay. Prairie swales; lake, marsh, creek & swamp margins; dry, limestone bluffs",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g830,https://www.wildflower.org/plants/result.php?id_plant=ceoc2,https://www.pleasantrunnursery.com/plant-name/Buttonbush,https://newmoonnursery.com/nursery-plants/cephalanthus-occidentalis/,https://www.pinelandsnursery.com/cephalanthus-occidentalis-buttonbush-1-pot
Shrubs,CA1,Clethra alnifolia,SWEET PEPPERBUSH,3 - 8,4 - 6,"White, Pink","Jul, Aug","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 3 to 9,"Birds, Butterflies","Clay Soil, Wet Soil, Heavy Shade, Erosion","Many wet to moist, acid soils, including sands and clays.",,Low,Swamps; sea shores; stream banks; hillside bogs,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c230,https://www.wildflower.org/plants/result.php?id_plant=clal3,https://www.pleasantrunnursery.com/plant-name/Clethra-alnifolia-Compacta,,https://www.pinelandsnursery.com/clethra-alnifolia-sweet-pepperbush-5-pot
Shrubs,CA2,Cornus amomum,SILKY DOGWOOD,6 - 12,6 - 12,White,Jun,"Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 5 to 8,Birds,"Deer, Wet Soil, Erosion, Black Walnut",Moist soils.,,Medium,Swamps; damp thickets; wet prairies,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g800,https://www.wildflower.org/plants/result.php?id_plant=COOB9,https://www.pleasantrunnursery.com/plant-name/Cornus-amomum,,https://www.pinelandsnursery.com/cornus-amomum-silky-dogwood-1-pot
Shrubs,CR,Cornus racemosa,GRAYSTEM DOGWOOD,10 - 15,10 - 15,"White, Green","May, Jun, Jul","Full Sun, Part Shade",medium,FAC,USDA Hardiness Zone 4 to 8,"Birds, Butterflies","Deer, Wet Soil",Moist soils.,,Low,"Thickets; river bank woods; wet to dry, low, open areas",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j930,https://www.wildflower.org/plants/result.php?id_plant=cora6,https://www.pleasantrunnursery.com/plant-name/Cornus-racemosa,,https://www.pinelandsnursery.com/cornus-racemosa-gray-dogwood-1-pot
Shrubs,CS2,Cornus sericea,RED-TWIG DOGWOOD,6 - 9,7 - 10,White,"May, Jun","Full Sun, Part Shade","medium, wet",,USDA Hardiness Zone 3 to 7,"Birds, Butterflies","Deer, Clay Soil, Wet Soil, Erosion","Moist, well-drained soils.",,Medium,"River banks; lake shores; wooded or open, wet areas",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279363,https://www.wildflower.org/plants/result.php?id_plant=cose16,https://www.pleasantrunnursery.com/plant-name/Cornus-sericea-Arctic-Fire-Red,,https://www.pinelandsnursery.com/cornus-sericea-redosier-dogwood-1-pot
Shrubs,HV,Hamamelis Virginiana,WITCHHAZEL,15 - 20,15 - 20,"Orange, Yellow, Green, Brown","Sep, Oct, Nov, Dec","Full Sun, Part Shade",medium,FACU,USDA Hardiness Zone 3 to 8,Birds,"Deer, Clay Soil, Erosion","Rich, well-drained soil. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based, Calcareous",,Low,"Moist woods, thickets, bottomlands",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=281023,https://www.wildflower.org/plants/result.php?id_plant=HAVI4,https://www.pleasantrunnursery.com/plant-name/Hamamelis-virginiana,,https://www.pinelandsnursery.com/hamamelis-virginiana-american-witch-hazel-1-pot
Shrubs,HQ,Hydrangea quercifolia,OAKLEAF HYDRANGEA,6 - 8,6 - 8,"White, Green, Purple","Jun, Jul","Full Sun, Part Shade",medium,,USDA Hardiness Zone 5 to 9,,,"Moist, fertile, well-drained soils.",,Low,Damp woods; river banks,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d380,https://www.wildflower.org/plants/result.php?id_plant=HYQU3,https://www.pleasantrunnursery.com/plant-name/Hydrangea-quercifolia-Gatsby-Moon,,https://www.pinelandsnursery.com/search?query=Hydrangea+quercifolia
Shrubs,IG,Ilex glabra,INKBERRY,5 - 8,5 - 8,White,"Jun, Jul, Aug, Sep","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 4 to 9,Birds,"Deer, Wet Soil, Rabbit, Erosion, Air Pollution","Sandy to peaty, acid soil.",,Low,Bogs; wet woods of coastal plains,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d553,https://www.wildflower.org/plants/result.php?id_plant=ilgl,https://www.pleasantrunnursery.com/plant-name/Ilex-glabra-Compacta,,https://www.pinelandsnursery.com/ilex-glabra-inkberry-holly-1-pot
Shrubs,IV1,Ilex verticillata,COMMON WINTERBERRY,6 - 8,6 - 8,"White, Yellow, Green, Brown","Apr, May, Jun, Jul","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 3 to 9,Birds,"Clay Soil, Wet Soil, Erosion, Air Pollution","Moist, acidic soils. Sandy, Sandy Loam Medium Loam Clay Loam, Clay",,Low,"Swamps, Stream, river banks, Near lakes or ponds",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a655,https://www.wildflower.org/plants/result.php?id_plant=Ilve,https://www.pleasantrunnursery.com/plant-name/Ilex-verticillata-Jim-Dandy,,https://www.pinelandsnursery.com/ilex-verticillata-winterberry-holly-1-pot
Shrubs,IV2,Itea virginica,VIRGINIA SWEETSPIRE,3 - 5,3 - 5,White,"Apr, May, Jun","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 5 to 9,"Butterflies, Pollinators","Clay Soil, Wet Soil, Heavy Shade, Erosion, Clay Soil Tolerant, Wet Site Tolerant","Moist, acid soils. Acid-based, Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay",,Low,"Wet, wooded stream banks; swamps; low pine barrens",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=k720,https://www.wildflower.org/plants/result.php?id_plant=ITVI,https://www.pleasantrunnursery.com/plant-name/Itea-virginica-Fizzy-Mizzy,,https://www.pinelandsnursery.com/itea-virginica-virginia-sweetspire-1-pot
Shrubs,KL,Kalmia latifolia,MOUNTAIN LAUREL,5 - 15,5 - 15,"White, Pink","Jun, Jul",Part Shade,medium,FACU,USDA Hardiness Zone 4 to 9,Pollinators,"Deer, Rabbit, Dry Shade Tolerant","Cool, moist rocky or sandy soils.",,Medium,Wet to dry woods & pastures; cool meadows & slopes,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c798,https://www.wildflower.org/plants/result.php?id_plant=KALA,https://www.pleasantrunnursery.com/plant-name/Bullseye_Mountain_Laurel,https://newmoonnursery.com/nursery-plants/phlox-carolina/,https://www.pinelandsnursery.com/spiraea-latifolia-meadowsweet-1-pot
Shrubs,LR,Leucothoe racemosa,FETTERBUSH,3 - 8,2 - 4,Pink,"Mar, Apr, May",Part Shade,"medium, wet",FACW,USDA Hardiness Zone 5 to 9,"Butterflies, Pollinators","Black Walnut Tolerant, Erosion","Moist, well-drained, acidic soil",,Low,Pocosins; low woods; shrub-tree bogs & bays,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=446191,https://www.wildflower.org/plants/result.php?id_plant=LYLU3,https://www.pleasantrunnursery.com/plant-name/Actaea-racemosa,,https://www.pinelandsnursery.com/cornus-racemosa-gray-dogwood-1-pot
Shrubs,LB,Lindera benzoin,SPICEBUSH,6 - 12,6 - 12,"White, Yellow",Apr,Part Shade,medium,FACW,USDA Hardiness Zone 4 to 9,"Birds, Butterflies","Deer, Drought, Clay Soil, Wet Soil, Heavy Shade, Black Walnut","Moist, sandy, well-drained soils. Caliche type, Limestone-based, Sandy Loam, Medium Loam",,Low,"Low, ",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d890,https://www.wildflower.org/plants/result.php?id_plant=libe3,https://www.bing.com/search?q=%22Lindera+benzoin%22+site%3Apleasantrunnursery.com&rdr=1&rdrig=5E52F458C86D4464921E8876D1979C9B#,https://www.bing.com/search?q=%22Lindera+benzoin%22+site%3Anewmoonnursery.com&rdr=1&rdrig=FAC69C5E762E402B94937EC9311CE956#,https://www.bing.com/search?q=%22Lindera+benzoin%22+site%3Apinelandsnursery.com&rdr=1&rdrig=5210A36611794517A9D6B5B3B2C909EE#
Shrubs,MP,Myrica pensylvanica,NORTHERN BAYBERRY,4 - 5,5 - 7,Yellow,"Jul, Aug, Sep, Oct","Full Sun, Part Shade","dry, medium",FAC,USDA Hardiness Zone 3 to 6,Birds,"Drought, Wet Soil, Erosion","Clay, Loam, Sand",,Low,"Ledges, wood borders; thickets",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=256525,https://www.wildflower.org/plants/result.php?id_plant=mope6,https://www.pleasantrunnursery.com/plant-name/Myrica-pensylvanica,,https://www.pinelandsnursery.com/morella-pensylvanica-northern-bayberry-1-pot
Shrubs,RV,Rhododendron viscosum,SWAMP AZALEA,3 - 5,3 - 5,"White, Pink","May, Jun, Jul, Aug",Part Shade,"medium, wet",OBL,USDA Hardiness Zone 4 to 9,"Hummingbirds, Butterflies","Wet Soil, Rabbit",Wet soil.,,Medium,Swamps; bogs; stream margins,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=280018,https://www.wildflower.org/plants/result.php?id_plant=rhvi2,https://www.pleasantrunnursery.com/plant-name/Rhododendron-atlanticum-Fragrant-Star,,https://www.pinelandsnursery.com/rhododendron-viscosum-swamp-azalea-5
Shrubs,RA,Rhus aromatica,FRAGRANT SUMAC,2 - 6,6 - 10,Yellow,"Apr, May, Jun","Full Sun, Part Shade","dry, medium",UPL,USDA Hardiness Zone 3 to 9,"Birds, Butterflies","Drought, Clay Soil, Rabbit, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut","Dry, rocky soils. Sandy, Sandy Loam, Medium Loam, Clay Loam Clay, Rocky, Caliche type, Limestone-based",,Low,"Dry, rocky prairies, old fields & open woods",,,,,,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=275952,https://www.wildflower.org/plants/result.php?id_plant=rhar4,https://www.pleasantrunnursery.com/plant-name/Rhus-aromatica,,https://www.pinelandsnursery.com/rhus-aromatica
Shrubs,RC,Rosa carolina,CAROLINA ROSE,3 - 6,5 - 10,"White, Pink","Jun, Jul, Aug",Full Sun,"medium, wet",FACU,USDA Hardiness Zone 4 to 9,"Birds, Butterflies, Hummingbirds, Pollinators, Food Source for Wildlife","Salt Tolerant, Wet Site Tolerant",Rocky soils.,,Medium,"Dry, open woods; hills; prairies; roadsides",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f370,https://www.wildflower.org/plants/result.php?id_plant=robl,https://www.pleasantrunnursery.com/plant-name/Rosa-carolina,https://newmoonnursery.com/nursery-plants/liatris-microcephala/,https://www.pinelandsnursery.com/rosa-carolina-carolina-rose-1-pot
Shrubs,SC,Sambucus canadensis,ELDERBERRY,5 - 12,5 - 12,White,"May, Jun","Full Sun, Part Shade","medium, wet",,USDA Hardiness Zone 3 to 9,"Birds, Butterflies","Clay Soil, Wet Soil, Erosion","Tolerates a wide variety of wet to dry soils but prefers rich, moist, slightly acid soil.",,High,"Alluvial forests; bogs; ditches; drier, old fields. Edges of riparian thickets in Central and East Texas.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f470,https://www.wildflower.org/plants/result.php?id_plant=sanic4,https://www.pleasantrunnursery.com/plant-name/Sambucus-canadensis-Adams,,https://www.pinelandsnursery.com/sambucus-canadensis-black-elderberry-1-pot
Shrubs,SL2,Spiraea latifolia,MEADOWSWEET,3 - 4,3 - 4,"White, Pink","Jul, Aug, Sep","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 3 to 7,Butterflies,"Deer, Wet Soil",Moist soils.,,Low,Moist slopes & meadows,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286372,https://www.wildflower.org/plants/result.php?id_plant=SPALL,https://www.pleasantrunnursery.com/plant-name/Bullseye_Mountain_Laurel,,https://www.pinelandsnursery.com/spiraea-latifolia-meadowsweet-1-pot
Shrubs,ST,Spiraea tomentosa,STEEPLEBUSH,2 - 4,3 - 5,"Red, Pink, Purple","Jul, Aug, Sep",Full Sun,"medium, wet",FACW,USDA Hardiness Zone 3 to 8,Butterflies,"Deer, Erosion","Wet, moderately acid, soils.",,Low,Wet prairies & meadows; marshes; roadsides,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e412,https://www.wildflower.org/plants/result.php?id_plant=spto2,https://www.pleasantrunnursery.com/plant-name/Spiraea-tomentosa,,https://www.pinelandsnursery.com/spiraea-tomentosa-steeplebush-1-pot
Shrubs,VC,Vaccinium corymbosum,HIGHBUSH BLUEBERRY,6 - 12,8 - 12,"White, Pink","May, Jun","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 5 to 8,"Birds, Butterflies",Wet Soil,"Wet to dry, acid, rocky soils to organic peats.",,Medium,Swamps; bogs; dry barrens; oak woods,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279992,https://www.wildflower.org/plants/result.php?id_plant=vaco,https://www.pleasantrunnursery.com/plant-name/Vaccinium_corymbosum_Blue_Jay,,https://www.pinelandsnursery.com/vaccinium-corymbosum-highbush-blueberry-5-pot
Shrubs,VA,Viburnum acerifolium,MAPLELEAF VIBURNUM,3 - 6,2 - 4,White,"Apr, May, Jun, Jul, Aug","Full Sun, Part Shade",medium,FACU,USDA Hardiness Zone 3 to 8,"Birds, Butterflies",Black Walnut,"Dry, rocky soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based",,Low,"Thickets, Shaded woods. Mesic, mixed woods; bluffs; ravines",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a192,https://www.wildflower.org/plants/result.php?id_plant=VIAC,https://www.pleasantrunnursery.com/plant-name/Viburnum-acerifolium,,https://www.pinelandsnursery.com/viburnum-lentago-nannyberry-2-pot
Shrubs,VD,Viburnum dentatum,ARROWWOOD VIBURNUM,6 - 10,6 - 10,White,"May, Jun, Jul","Full Sun, Part Shade",medium,FAC,USDA Hardiness Zone 2 to 8,"Birds, Butterflies","Clay Soil, Black Walnut","Dry to wet, acid soils and sands.",,Low,Stream banks; moist woods,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m720,https://www.wildflower.org/plants/result.php?id_plant=vide,https://www.pleasantrunnursery.com/plant-name/Viburnum-dentatum-Blue-Muffin,,https://www.pinelandsnursery.com/viburnum-dentatum-arrowwood-viburnum-1-pot
Shrubs,VL,Viburnum lentago,NANNYBERRY,14 - 16,6 - 12,"White, Red, Pink","May, Jun, Jul, Aug, Sep, Oct, Nov","Full Sun, Part Shade",medium,FAC,USDA Hardiness Zone 2 to 8,"Birds, Butterflies",Air Pollution,"Sand, loam, clay, caliche, limestone. Poor drainage and saline soils okay.",,Low,Anywhere from ditches and roadways to beaches and fields.,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m750,https://www.wildflower.org/plants/result.php?id_plant=phno2,https://www.pleasantrunnursery.com/plant-name/Viburnum-acerifolium,,https://www.pinelandsnursery.com/viburnum-lentago-nannyberry-2-pot
Shrubs,VN1,Viburnum nudum,POSSUMHAW VIRBURNUM,5 - 12,5 - 12,White,"May, Jun, Jul","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 5 to 9,Butterflies,Wet Soil,"Adaptable but prefers wet, mucky, acid soils.",,Low,"Savannas; low, wet woods; bogs",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278959,https://www.wildflower.org/plants/result.php?id_plant=VINU,https://www.pleasantrunnursery.com/plant-name/Viburnum-nudum-Brandywine,,https://www.pinelandsnursery.com/viburnum-nudum-possumhaw-tubeling
Shrubs,VT,Viburnum trilobum,CRANBERRY VIBURNUM,8 - 12,8 - 12,White,"May, Jun, Jul","Full Sun, Part Shade",medium,FAC,USDA Hardiness Zone 2 to 7,"Birds, Butterflies, Food Source for Wildlife","Black Walnut Tolerant, Clay Soil Tolerant, Wet Site Tolerant","Dry to wet, acid soils and sands.",,Low,Stream banks; moist woods,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c365,https://www.wildflower.org/plants/result.php?id_plant=vide,https://www.pleasantrunnursery.com/plant-name/Viburnum-trilobum-Bailey-Compact,,https://www.pinelandsnursery.com/viburnum-trilobum-cranberry-viburnum-1-pot
Trees,AC1,Amelanchier canadensis,SERVICEBERRY,3 - 5,3 - 5,White,"Apr, May","Full Sun, Part Shade","dry, medium",FAC,USDA Hardiness Zone 5 to 8,Birds,"Drought, Dry Soil","Moist, but well-drained, soils.",,Low,"Wood borders; moist, upland woods.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=358428,https://www.wildflower.org/plants/result.php?id_plant=amca4,https://www.pleasantrunnursery.com/plant-name/Amelanchier-canadensis,,https://www.pinelandsnursery.com/amelanchier-canadensis-shadbush-5-pot
Trees,AT3,Asimina triloba,COMMON PAWPAW,15 - 30,15 - 30,"White, Red, Yellow, Purple","Apr, May","Full Sun, Part Shade","medium, wet",FAC,USDA Hardiness Zone 5 to 9,"Butterflies, Pollinators, Food Source for Wildlife","Wet Soil, Black Walnut Tolerant, Black Walnut","Rich, moist, slightly acid soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay",,Low,"Ditches, Ravines, Depressions, Flood plains, bottomland",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b500,https://www.wildflower.org/plants/result.php?id_plant=astr,https://www.pleasantrunnursery.com/plant-name/Asimina-triloba-,,https://www.pinelandsnursery.com/asimina-triloba-pawpaw-2-pot
Trees,BN,Betula nigra,RIVER BIRCH,30 - 40,25 - 35,"Green, Brown","Feb, Mar","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 4 to 9,Food Source for Wildlife,"Deer, Clay Soil, Wet Soil, Black Walnut Tolerant, Air Pollution, Clay Soil Tolerant, Salt Tolerant, Wet Site Tolerant","Sandy, moist soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based",,Low,"Swamps, Flood plains, bottomland, Ditches, Ravines, Depressions, Stream, river banks",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c585,https://www.wildflower.org/plants/result.php?id_plant=beni,https://www.pleasantrunnursery.com/plant-name/Betula-nigra-Dura-Heat,,https://www.pinelandsnursery.com/betula-nigra-river-birch-2pot
Trees,CC1,Cercis canadensis,EASTERN REDBUD,20 - 30,25 - 35,Pink,"Mar, Apr, May","Full Sun, Part Shade",medium,UPL,USDA Hardiness Zone 4 to 8,"Birds, Hummingbirds, Butterflies","Deer, Clay Soil, Black Walnut","Moist, fertile, well-drained soils.",,Low,Woods; stream banks; limestone bluffs,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h550,https://www.wildflower.org/plants/result.php?id_plant=ceca4,https://www.pleasantrunnursery.com/plant-name/Cercis-canadensis,,https://www.pinelandsnursery.com/cercis-canadensis-eastern-redbud-2-pot
Trees,CF,Cornus florida,FLOWERING DOGWOOD,15 - 30,15 - 30,"White, Pink, Yellow, Green","Mar, Apr, May, Jun","Full Sun, Part Shade",medium,FACU,USDA Hardiness Zone 5 to 9,"Birds, Butterflies","Deer, Clay Soil, Black Walnut","Rich, well-drained, acid soil. Sandy, Sandy Loam, Medium Loam, Acid-based",,Medium,"Thickets, Stream, river banks, Shaded woods.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c280,https://www.wildflower.org/plants/result.php?id_plant=cofl2,https://www.pleasantrunnursery.com/plant-name/Cornus-florida-Appalachian-Joy,,https://www.pinelandsnursery.com/cornus-florida-flowering-dogwood-7-pot
Trees,MV,Magnolia virginiana,SWEETBAY MAGNOLIA,10 - 35,10 - 35,White,"Apr, May, Jun, Jul","Full Sun, Part Shade","medium, wet",FACW,USDA Hardiness Zone 5 to 10,"Pollinators, Food Source for Wildlife","Clay Soil, Wet Soil, Air Pollution, Clay Soil Tolerant, Salt Tolerant, Wet Site Tolerant","Rich, moist soils. . Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based",,Low,"Open woodlands, Shaded woods, Swamps",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e110,https://www.wildflower.org/plants/result.php?id_plant=mavi2,https://www.pleasantrunnursery.com/plant-name/Magnolia-virginiana,,https://www.pinelandsnursery.com/magnolia-virginiana-sweetbay-magnolia-2-pot
